angry0,angry1,angry2,angry3,box0,box1,box2,box3,disgust0,disgust1,disgust2,disgust3,fear0,fear1,fear2,fear3,happy0,happy1,happy2,happy3,neutral0,neutral1,neutral2,neutral3,sad0,sad1,sad2,sad3,surprise0,surprise1,surprise2,surprise3
0.24,,,,"[61, 217, 103, 136]",,,,0.0,,,,0.44,,,,0.0,,,,0.21,,,,0.06,,,,0.05,,,
0.26,,,,"[61, 217, 103, 136]",,,,0.0,,,,0.42,,,,0.0,,,,0.2,,,,0.06,,,,0.05,,,
0.28,,,,"[60, 216, 103, 137]",,,,0.0,,,,0.38,,,,0.0,,,,0.25,,,,0.06,,,,0.03,,,
0.14,,,,"[61, 219, 101, 133]",,,,0.0,,,,0.59,,,,0.0,,,,0.15,,,,0.08,,,,0.04,,,
0.14,,,,"[61, 218, 102, 133]",,,,0.0,,,,0.61,,,,0.0,,,,0.12,,,,0.09,,,,0.04,,,
0.19,,,,"[62, 217, 102, 134]",,,,0.0,,,,0.58,,,,0.0,,,,0.09,,,,0.07,,,,0.07,,,
0.17,,,,"[63, 218, 103, 134]",,,,0.0,,,,0.61,,,,0.0,,,,0.08,,,,0.04,,,,0.11,,,
0.21,,,,"[63, 218, 103, 133]",,,,0.0,,,,0.51,,,,0.0,,,,0.1,,,,0.07,,,,0.11,,,
0.14,,,,"[62, 218, 102, 133]",,,,0.0,,,,0.46,,,,0.0,,,,0.18,,,,0.06,,,,0.16,,,
0.18,,,,"[62, 218, 102, 133]",,,,0.0,,,,0.42,,,,0.0,,,,0.21,,,,0.07,,,,0.12,,,
0.16,,,,"[63, 220, 100, 129]",,,,0.0,,,,0.48,,,,0.0,,,,0.09,,,,0.06,,,,0.2,,,
0.09,,,,"[62, 219, 101, 130]",,,,0.0,,,,0.63,,,,0.0,,,,0.11,,,,0.04,,,,0.12,,,
0.15,,,,"[62, 219, 101, 131]",,,,0.0,,,,0.59,,,,0.0,,,,0.13,,,,0.07,,,,0.06,,,
0.11,,,,"[62, 219, 100, 132]",,,,0.0,,,,0.63,,,,0.0,,,,0.14,,,,0.08,,,,0.04,,,
0.11,,,,"[61, 220, 101, 130]",,,,0.0,,,,0.61,,,,0.0,,,,0.15,,,,0.07,,,,0.06,,,
0.14,,,,"[62, 220, 100, 129]",,,,0.0,,,,0.43,,,,0.0,,,,0.22,,,,0.07,,,,0.14,,,
0.15,,,,"[62, 219, 99, 130]",,,,0.0,,,,0.41,,,,0.01,,,,0.25,,,,0.07,,,,0.11,,,
0.08,,,,"[62, 222, 100, 129]",,,,0.0,,,,0.62,,,,0.0,,,,0.09,,,,0.04,,,,0.17,,,
0.02,,,,"[63, 222, 100, 128]",,,,0.0,,,,0.56,,,,0.0,,,,0.02,,,,0.02,,,,0.38,,,
0.09,,,,"[62, 222, 102, 130]",,,,0.0,,,,0.63,,,,0.0,,,,0.06,,,,0.04,,,,0.18,,,
0.17,0.28,,,"[61, 219, 101, 134]","[10, 22, 13, 14]",,,0.0,0.0,,,0.52,0.05,,,0.01,0.33,,,0.16,0.18,,,0.06,0.16,,,0.09,0.0,,
0.15,,,,"[61, 219, 102, 134]",,,,0.0,,,,0.54,,,,0.0,,,,0.13,,,,0.06,,,,0.12,,,
0.06,,,,"[61, 220, 102, 132]",,,,0.0,,,,0.68,,,,0.0,,,,0.03,,,,0.02,,,,0.21,,,
0.1,,,,"[62, 219, 100, 132]",,,,0.0,,,,0.65,,,,0.0,,,,0.04,,,,0.03,,,,0.18,,,
0.14,,,,"[62, 218, 102, 134]",,,,0.0,,,,0.5,,,,0.0,,,,0.09,,,,0.04,,,,0.23,,,
0.14,,,,"[62, 218, 102, 134]",,,,0.0,,,,0.49,,,,0.0,,,,0.1,,,,0.04,,,,0.23,,,
0.32,,,,"[62, 219, 101, 133]",,,,0.0,,,,0.22,,,,0.0,,,,0.22,,,,0.11,,,,0.13,,,
0.44,,,,"[62, 222, 103, 133]",,,,0.0,,,,0.12,,,,0.0,,,,0.31,,,,0.11,,,,0.01,,,
0.33,,,,"[61, 221, 105, 134]",,,,0.0,,,,0.16,,,,0.0,,,,0.41,,,,0.08,,,,0.01,,,
0.2,,,,"[63, 219, 101, 134]",,,,0.0,,,,0.45,,,,0.0,,,,0.13,,,,0.04,,,,0.17,,,
0.08,,,,"[63, 219, 102, 134]",,,,0.0,,,,0.65,,,,0.0,,,,0.06,,,,0.03,,,,0.18,,,
0.08,,,,"[63, 219, 101, 134]",,,,0.0,,,,0.65,,,,0.0,,,,0.06,,,,0.03,,,,0.18,,,
0.07,,,,"[62, 220, 103, 132]",,,,0.0,,,,0.66,,,,0.0,,,,0.03,,,,0.02,,,,0.23,,,
0.17,,,,"[62, 219, 103, 133]",,,,0.0,,,,0.43,,,,0.0,,,,0.25,,,,0.05,,,,0.09,,,
0.21,,,,"[63, 219, 102, 134]",,,,0.0,,,,0.46,,,,0.0,,,,0.19,,,,0.07,,,,0.06,,,
0.19,,,,"[63, 218, 101, 135]",,,,0.0,,,,0.43,,,,0.0,,,,0.25,,,,0.08,,,,0.05,,,
0.13,,,,"[63, 220, 102, 135]",,,,0.0,,,,0.53,,,,0.0,,,,0.09,,,,0.03,,,,0.21,,,
0.14,,,,"[63, 220, 102, 135]",,,,0.0,,,,0.53,,,,0.0,,,,0.09,,,,0.04,,,,0.21,,,
0.45,,,,"[63, 219, 104, 137]",,,,0.0,,,,0.06,,,,0.0,,,,0.42,,,,0.07,,,,0.01,,,
0.47,,,,"[63, 218, 105, 138]",,,,0.0,,,,0.05,,,,0.0,,,,0.4,,,,0.06,,,,0.02,,,
0.16,,,,"[63, 219, 103, 135]",,,,0.0,,,,0.4,,,,0.0,,,,0.12,,,,0.04,,,,0.27,,,
0.03,0.26,,,"[63, 219, 102, 135]","[157, 373, 47, 60]",,,0.0,0.0,,,0.56,0.09,,,0.0,0.25,,,0.03,0.12,,,0.01,0.11,,,0.37,0.16,,
0.05,,,,"[63, 218, 103, 135]",,,,0.0,,,,0.5,,,,0.0,,,,0.05,,,,0.02,,,,0.39,,,
0.05,,,,"[63, 218, 103, 135]",,,,0.0,,,,0.48,,,,0.0,,,,0.05,,,,0.02,,,,0.4,,,
0.07,,,,"[64, 218, 102, 134]",,,,0.0,,,,0.46,,,,0.0,,,,0.11,,,,0.04,,,,0.32,,,
0.08,,,,"[64, 217, 103, 135]",,,,0.0,,,,0.52,,,,0.0,,,,0.11,,,,0.03,,,,0.27,,,
0.22,,,,"[64, 217, 103, 137]",,,,0.0,,,,0.31,,,,0.01,,,,0.34,,,,0.05,,,,0.07,,,
0.09,,,,"[66, 220, 101, 132]",,,,0.0,,,,0.55,,,,0.0,,,,0.07,,,,0.03,,,,0.27,,,
0.11,,,,"[66, 222, 100, 130]",,,,0.0,,,,0.61,,,,0.0,,,,0.09,,,,0.04,,,,0.14,,,
0.13,,,,"[64, 218, 103, 136]",,,,0.0,,,,0.55,,,,0.0,,,,0.14,,,,0.04,,,,0.14,,,
0.19,,,,"[64, 218, 103, 135]",,,,0.0,,,,0.53,,,,0.0,,,,0.13,,,,0.06,,,,0.07,,,
0.15,,,,"[63, 218, 104, 135]",,,,0.0,,,,0.62,,,,0.0,,,,0.08,,,,0.05,,,,0.09,,,
0.11,,,,"[63, 218, 103, 136]",,,,0.0,,,,0.67,,,,0.0,,,,0.06,,,,0.04,,,,0.11,,,
0.11,,,,"[64, 218, 103, 137]",,,,0.0,,,,0.7,,,,0.0,,,,0.05,,,,0.04,,,,0.11,,,
0.1,,,,"[63, 219, 102, 136]",,,,0.0,,,,0.65,,,,0.0,,,,0.04,,,,0.02,,,,0.2,,,
0.11,,,,"[64, 219, 101, 136]",,,,0.0,,,,0.67,,,,0.0,,,,0.04,,,,0.03,,,,0.14,,,
0.15,,,,"[64, 220, 102, 136]",,,,0.0,,,,0.62,,,,0.0,,,,0.08,,,,0.04,,,,0.11,,,
0.49,,,,"[64, 220, 103, 132]",,,,0.0,,,,0.08,,,,0.0,,,,0.28,,,,0.13,,,,0.02,,,
0.36,,,,"[64, 217, 104, 135]",,,,0.0,,,,0.19,,,,0.0,,,,0.25,,,,0.08,,,,0.12,,,
0.23,,,,"[65, 218, 102, 134]",,,,0.0,,,,0.3,,,,0.0,,,,0.26,,,,0.05,,,,0.15,,,
0.2,,,,"[67, 222, 102, 129]",,,,0.0,,,,0.35,,,,0.0,,,,0.08,,,,0.04,,,,0.33,,,
0.2,,,,"[67, 221, 102, 129]",,,,0.0,,,,0.33,,,,0.0,,,,0.11,,,,0.06,,,,0.3,,,
0.24,,,,"[67, 221, 101, 131]",,,,0.0,,,,0.34,,,,0.0,,,,0.2,,,,0.06,,,,0.16,,,
0.07,,,,"[66, 222, 95, 127]",,,,0.0,,,,0.37,,,,0.0,,,,0.04,,,,0.03,,,,0.49,,,
0.16,,,,"[66, 222, 95, 124]",,,,0.0,,,,0.41,,,,0.0,,,,0.05,,,,0.04,,,,0.33,,,
0.09,,,,"[66, 220, 98, 133]",,,,0.0,,,,0.42,,,,0.0,,,,0.11,,,,0.03,,,,0.35,,,
0.1,,,,"[69, 220, 102, 130]",,,,0.0,,,,0.21,,,,0.0,,,,0.11,,,,0.04,,,,0.54,,,
0.1,,,,"[69, 221, 101, 129]",,,,0.0,,,,0.25,,,,0.0,,,,0.08,,,,0.03,,,,0.55,,,
0.17,,,,"[70, 221, 99, 129]",,,,0.0,,,,0.23,,,,0.0,,,,0.17,,,,0.05,,,,0.38,,,
0.17,,,,"[70, 221, 99, 130]",,,,0.0,,,,0.25,,,,0.0,,,,0.2,,,,0.06,,,,0.32,,,
0.17,,,,"[71, 221, 99, 130]",,,,0.0,,,,0.22,,,,0.0,,,,0.2,,,,0.05,,,,0.36,,,
0.21,,,,"[72, 221, 100, 130]",,,,0.0,,,,0.2,,,,0.0,,,,0.28,,,,0.07,,,,0.24,,,
0.2,,,,"[73, 221, 100, 130]",,,,0.0,,,,0.15,,,,0.0,,,,0.37,,,,0.08,,,,0.19,,,
0.18,,,,"[74, 223, 102, 127]",,,,0.0,,,,0.18,,,,0.0,,,,0.21,,,,0.06,,,,0.37,,,
0.24,,,,"[74, 220, 101, 131]",,,,0.0,,,,0.27,,,,0.0,,,,0.24,,,,0.09,,,,0.15,,,
0.25,,,,"[74, 220, 101, 131]",,,,0.0,,,,0.27,,,,0.0,,,,0.26,,,,0.14,,,,0.08,,,
0.07,,,,"[75, 220, 101, 133]",,,,0.0,,,,0.56,,,,0.0,,,,0.17,,,,0.06,,,,0.14,,,
0.07,,,,"[76, 220, 100, 134]",,,,0.0,,,,0.57,,,,0.0,,,,0.2,,,,0.06,,,,0.1,,,
0.07,,,,"[75, 220, 101, 134]",,,,0.0,,,,0.55,,,,0.0,,,,0.19,,,,0.07,,,,0.12,,,
0.06,,,,"[75, 221, 101, 133]",,,,0.0,,,,0.63,,,,0.0,,,,0.14,,,,0.04,,,,0.11,,,
0.11,,,,"[75, 220, 101, 134]",,,,0.0,,,,0.56,,,,0.01,,,,0.18,,,,0.06,,,,0.09,,,
0.08,,,,"[74, 220, 102, 135]",,,,0.0,,,,0.65,,,,0.0,,,,0.14,,,,0.05,,,,0.09,,,
0.09,,,,"[74, 220, 102, 135]",,,,0.0,,,,0.59,,,,0.0,,,,0.17,,,,0.06,,,,0.1,,,
0.05,,,,"[74, 222, 102, 134]",,,,0.0,,,,0.68,,,,0.0,,,,0.07,,,,0.03,,,,0.16,,,
0.05,,,,"[74, 221, 102, 135]",,,,0.0,,,,0.7,,,,0.0,,,,0.04,,,,0.03,,,,0.18,,,
0.04,,,,"[74, 222, 102, 132]",,,,0.0,,,,0.74,,,,0.0,,,,0.02,,,,0.02,,,,0.18,,,
0.05,,,,"[73, 220, 103, 138]",,,,0.0,,,,0.71,,,,0.0,,,,0.06,,,,0.04,,,,0.14,,,
0.06,,,,"[74, 222, 102, 135]",,,,0.0,,,,0.53,,,,0.0,,,,0.08,,,,0.04,,,,0.28,,,
0.11,0.04,,,"[74, 221, 102, 136]","[11, 24, 11, 15]",,,0.0,0.0,,,0.52,0.1,,,0.0,0.58,,,0.11,0.19,,,0.06,0.09,,,0.2,0.0,,
0.08,,,,"[74, 222, 102, 134]",,,,0.0,,,,0.48,,,,0.0,,,,0.11,,,,0.06,,,,0.27,,,
0.12,,,,"[74, 221, 102, 133]",,,,0.0,,,,0.44,,,,0.0,,,,0.18,,,,0.07,,,,0.19,,,
0.13,,,,"[74, 221, 102, 133]",,,,0.0,,,,0.43,,,,0.0,,,,0.19,,,,0.07,,,,0.18,,,
0.18,,,,"[75, 221, 102, 133]",,,,0.0,,,,0.38,,,,0.0,,,,0.21,,,,0.08,,,,0.15,,,
0.11,,,,"[75, 222, 104, 133]",,,,0.0,,,,0.52,,,,0.0,,,,0.18,,,,0.09,,,,0.1,,,
0.23,,,,"[75, 220, 102, 134]",,,,0.0,,,,0.36,,,,0.0,,,,0.21,,,,0.11,,,,0.08,,,
0.25,,,,"[75, 220, 102, 133]",,,,0.0,,,,0.35,,,,0.0,,,,0.22,,,,0.1,,,,0.08,,,
0.11,,,,"[75, 222, 104, 133]",,,,0.0,,,,0.53,,,,0.0,,,,0.21,,,,0.08,,,,0.07,,,
0.21,,,,"[76, 222, 100, 131]",,,,0.0,,,,0.43,,,,0.0,,,,0.18,,,,0.09,,,,0.08,,,
0.1,,,,"[77, 222, 100, 132]",,,,0.0,,,,0.62,,,,0.0,,,,0.11,,,,0.06,,,,0.1,,,
0.09,,,,"[77, 222, 101, 132]",,,,0.0,,,,0.62,,,,0.0,,,,0.11,,,,0.06,,,,0.12,,,
0.07,,,,"[78, 222, 100, 131]",,,,0.0,,,,0.62,,,,0.0,,,,0.11,,,,0.05,,,,0.14,,,
0.08,,,,"[77, 222, 101, 132]",,,,0.0,,,,0.64,,,,0.0,,,,0.11,,,,0.06,,,,0.1,,,
0.15,,,,"[77, 220, 103, 136]",,,,0.0,,,,0.59,,,,0.0,,,,0.12,,,,0.07,,,,0.08,,,
0.15,,,,"[77, 220, 103, 136]",,,,0.0,,,,0.57,,,,0.0,,,,0.13,,,,0.07,,,,0.07,,,
0.07,,,,"[78, 222, 102, 133]",,,,0.0,,,,0.67,,,,0.0,,,,0.09,,,,0.05,,,,0.12,,,
0.11,,,,"[79, 222, 101, 132]",,,,0.0,,,,0.54,,,,0.0,,,,0.13,,,,0.06,,,,0.15,,,
0.12,,,,"[79, 223, 103, 134]",,,,0.0,,,,0.45,,,,0.01,,,,0.28,,,,0.09,,,,0.05,,,
0.18,,,,"[80, 224, 102, 131]",,,,0.0,,,,0.35,,,,0.0,,,,0.3,,,,0.12,,,,0.04,,,
0.18,,,,"[81, 223, 102, 131]",,,,0.0,,,,0.45,,,,0.0,,,,0.21,,,,0.09,,,,0.07,,,
0.21,,,,"[80, 223, 103, 130]",,,,0.0,,,,0.39,,,,0.0,,,,0.18,,,,0.1,,,,0.12,,,
0.17,,,,"[82, 224, 102, 129]",,,,0.0,,,,0.43,,,,0.0,,,,0.17,,,,0.11,,,,0.12,,,
0.28,,,,"[82, 224, 102, 130]",,,,0.0,,,,0.29,,,,0.0,,,,0.26,,,,0.14,,,,0.04,,,
0.22,,,,"[83, 224, 102, 129]",,,,0.0,,,,0.32,,,,0.0,,,,0.28,,,,0.14,,,,0.04,,,
0.28,,,,"[83, 222, 100, 130]",,,,0.0,,,,0.25,,,,0.01,,,,0.32,,,,0.13,,,,0.02,,,
0.27,,,,"[84, 223, 100, 128]",,,,0.0,,,,0.33,,,,0.01,,,,0.25,,,,0.11,,,,0.04,,,
0.28,,,,"[83, 223, 101, 129]",,,,0.0,,,,0.43,,,,0.0,,,,0.17,,,,0.08,,,,0.04,,,
0.27,,,,"[85, 222, 100, 130]",,,,0.0,,,,0.4,,,,0.0,,,,0.2,,,,0.11,,,,0.02,,,
0.3,,,,"[85, 223, 99, 129]",,,,0.0,,,,0.42,,,,0.0,,,,0.18,,,,0.07,,,,0.03,,,
0.31,,,,"[86, 222, 101, 129]",,,,0.0,,,,0.34,,,,0.0,,,,0.21,,,,0.12,,,,0.02,,,
0.3,,,,"[87, 221, 101, 131]",,,,0.0,,,,0.37,,,,0.0,,,,0.2,,,,0.12,,,,0.01,,,
0.29,,,,"[87, 223, 101, 129]",,,,0.0,,,,0.34,,,,0.01,,,,0.24,,,,0.1,,,,0.01,,,
0.29,,,,"[87, 223, 101, 129]",,,,0.0,,,,0.34,,,,0.01,,,,0.25,,,,0.1,,,,0.01,,,
0.26,,,,"[88, 223, 101, 129]",,,,0.0,,,,0.37,,,,0.01,,,,0.25,,,,0.1,,,,0.01,,,
0.34,,,,"[89, 222, 101, 129]",,,,0.0,,,,0.32,,,,0.01,,,,0.19,,,,0.13,,,,0.01,,,
0.25,,,,"[90, 223, 101, 128]",,,,0.0,,,,0.39,,,,0.01,,,,0.23,,,,0.1,,,,0.02,,,
0.33,,,,"[91, 222, 101, 128]",,,,0.0,,,,0.33,,,,0.01,,,,0.16,,,,0.14,,,,0.03,,,
0.31,,,,"[92, 222, 101, 128]",,,,0.0,,,,0.34,,,,0.01,,,,0.15,,,,0.16,,,,0.02,,,
0.33,,,,"[93, 222, 100, 128]",,,,0.0,,,,0.33,,,,0.01,,,,0.16,,,,0.16,,,,0.02,,,
0.31,,,,"[93, 223, 101, 128]",,,,0.0,,,,0.32,,,,0.01,,,,0.24,,,,0.1,,,,0.02,,,
0.32,,,,"[95, 222, 100, 128]",,,,0.0,,,,0.33,,,,0.01,,,,0.14,,,,0.18,,,,0.02,,,
0.28,,,,"[96, 223, 100, 127]",,,,0.0,,,,0.36,,,,0.01,,,,0.16,,,,0.16,,,,0.03,,,
0.38,,,,"[97, 221, 100, 130]",,,,0.0,,,,0.29,,,,0.01,,,,0.15,,,,0.16,,,,0.01,,,
0.33,,,,"[98, 222, 101, 129]",,,,0.0,,,,0.37,,,,0.01,,,,0.1,,,,0.16,,,,0.03,,,
0.34,,,,"[98, 222, 101, 129]",,,,0.0,,,,0.36,,,,0.0,,,,0.1,,,,0.16,,,,0.03,,,
0.34,,,,"[99, 222, 101, 131]",,,,0.0,,,,0.25,,,,0.02,,,,0.22,,,,0.14,,,,0.02,,,
0.28,,,,"[100, 222, 101, 130]",,,,0.0,,,,0.39,,,,0.01,,,,0.12,,,,0.18,,,,0.03,,,
0.17,,,,"[101, 224, 102, 127]",,,,0.0,,,,0.4,,,,0.01,,,,0.17,,,,0.17,,,,0.07,,,
0.31,0.03,,,"[101, 222, 103, 132]","[212, 383, 19, 26]",,,0.0,0.01,,,0.34,0.04,,,0.02,0.74,,,0.16,0.01,,,0.13,0.15,,,0.03,0.01,,
0.28,,,,"[102, 222, 103, 133]",,,,0.0,,,,0.41,,,,0.03,,,,0.12,,,,0.14,,,,0.03,,,
0.28,,,,"[102, 222, 103, 133]",,,,0.0,,,,0.41,,,,0.03,,,,0.11,,,,0.15,,,,0.03,,,
0.4,,,,"[103, 221, 101, 132]",,,,0.0,,,,0.28,,,,0.02,,,,0.1,,,,0.18,,,,0.02,,,
0.29,,,,"[103, 222, 104, 133]",,,,0.0,,,,0.42,,,,0.02,,,,0.08,,,,0.16,,,,0.03,,,
0.31,,,,"[105, 223, 104, 131]",,,,0.0,,,,0.32,,,,0.02,,,,0.13,,,,0.19,,,,0.02,,,
0.35,,,,"[105, 223, 104, 133]",,,,0.0,,,,0.35,,,,0.02,,,,0.09,,,,0.18,,,,0.01,,,
0.28,,,,"[106, 222, 104, 134]",,,,0.0,,,,0.35,,,,0.01,,,,0.09,,,,0.26,,,,0.01,,,
0.42,,,,"[105, 221, 104, 135]",,,,0.0,,,,0.24,,,,0.02,,,,0.13,,,,0.19,,,,0.01,,,
0.37,,,,"[108, 223, 102, 130]",,,,0.0,,,,0.2,,,,0.04,,,,0.22,,,,0.16,,,,0.01,,,
0.47,,,,"[108, 223, 102, 131]",,,,0.0,,,,0.18,,,,0.04,,,,0.15,,,,0.14,,,,0.01,,,
0.32,,,,"[108, 222, 107, 138]",,,,0.0,,,,0.3,,,,0.05,,,,0.14,,,,0.14,,,,0.04,,,
0.34,,,,"[107, 221, 107, 137]",,,,0.0,,,,0.27,,,,0.03,,,,0.12,,,,0.22,,,,0.01,,,
0.36,,,,"[109, 224, 102, 129]",,,,0.0,,,,0.34,,,,0.03,,,,0.12,,,,0.12,,,,0.03,,,
0.31,,,,"[109, 222, 107, 138]",,,,0.0,,,,0.34,,,,0.05,,,,0.13,,,,0.12,,,,0.04,,,
0.32,,,,"[110, 225, 101, 129]",,,,0.0,,,,0.42,,,,0.01,,,,0.09,,,,0.11,,,,0.04,,,
0.29,,,,"[110, 226, 101, 131]",,,,0.0,,,,0.5,,,,0.01,,,,0.07,,,,0.12,,,,0.02,,,
0.21,,,,"[111, 227, 102, 129]",,,,0.0,,,,0.65,,,,0.0,,,,0.02,,,,0.06,,,,0.06,,,
0.14,,,,"[113, 227, 101, 130]",,,,0.0,,,,0.67,,,,0.0,,,,0.04,,,,0.07,,,,0.08,,,
0.19,,,,"[112, 225, 107, 137]",,,,0.0,,,,0.54,,,,0.0,,,,0.1,,,,0.15,,,,0.02,,,
0.23,,,,"[111, 226, 103, 134]",,,,0.0,,,,0.45,,,,0.0,,,,0.13,,,,0.19,,,,0.01,,,
0.13,,,,"[112, 230, 100, 131]",,,,0.0,,,,0.2,,,,0.0,,,,0.34,,,,0.33,,,,0.0,,,
0.13,,,,"[110, 233, 100, 131]",,,,0.0,,,,0.21,,,,0.0,,,,0.44,,,,0.23,,,,0.0,,,
0.19,,,,"[109, 235, 102, 131]",,,,0.0,,,,0.1,,,,0.0,,,,0.61,,,,0.09,,,,0.0,,,
0.22,,,,"[108, 236, 103, 132]",,,,0.0,,,,0.13,,,,0.01,,,,0.52,,,,0.12,,,,0.01,,,
0.42,,,,"[108, 233, 104, 135]",,,,0.0,,,,0.1,,,,0.01,,,,0.37,,,,0.07,,,,0.03,,,
0.36,,,,"[108, 234, 104, 133]",,,,0.0,,,,0.1,,,,0.01,,,,0.44,,,,0.07,,,,0.02,,,
0.3,0.2,,,"[105, 232, 105, 133]","[10, 24, 12, 13]",,,0.0,0.0,,,0.11,0.03,,,0.01,0.39,,,0.44,0.28,,,0.12,0.1,,,0.02,0.0,,
0.34,,,,"[104, 227, 105, 133]",,,,0.0,,,,0.09,,,,0.01,,,,0.43,,,,0.11,,,,0.02,,,
0.42,,,,"[102, 224, 107, 135]",,,,0.0,,,,0.11,,,,0.01,,,,0.36,,,,0.07,,,,0.03,,,
0.37,,,,"[103, 226, 105, 133]",,,,0.0,,,,0.09,,,,0.0,,,,0.45,,,,0.07,,,,0.02,,,
0.41,,,,"[100, 223, 108, 137]",,,,0.0,,,,0.1,,,,0.01,,,,0.39,,,,0.09,,,,0.0,,,
0.4,,,,"[100, 223, 108, 137]",,,,0.0,,,,0.11,,,,0.01,,,,0.39,,,,0.1,,,,0.01,,,
0.45,,,,"[98, 222, 111, 142]",,,,0.0,,,,0.12,,,,0.01,,,,0.34,,,,0.07,,,,0.01,,,
0.37,,,,"[99, 225, 109, 140]",,,,0.0,,,,0.09,,,,0.01,,,,0.44,,,,0.06,,,,0.02,,,
0.41,,,,"[98, 229, 108, 132]",,,,0.0,,,,0.02,,,,0.0,,,,0.5,,,,0.06,,,,0.0,,,
0.37,,,,"[100, 228, 105, 131]",,,,0.0,,,,0.04,,,,0.0,,,,0.5,,,,0.07,,,,0.01,,,
0.28,,,,"[96, 225, 109, 134]",,,,0.0,,,,0.08,,,,0.01,,,,0.51,,,,0.06,,,,0.06,,,
0.24,,,,"[96, 225, 108, 133]",,,,0.0,,,,0.11,,,,0.02,,,,0.51,,,,0.05,,,,0.07,,,
0.32,,,,"[95, 224, 107, 137]",,,,0.0,,,,0.19,,,,0.02,,,,0.38,,,,0.07,,,,0.02,,,
0.44,,,,"[93, 225, 109, 137]",,,,0.0,,,,0.2,,,,0.01,,,,0.25,,,,0.07,,,,0.02,,,
0.45,,,,"[91, 225, 108, 137]",,,,0.0,,,,0.06,,,,0.01,,,,0.41,,,,0.04,,,,0.03,,,
0.51,,,,"[91, 224, 108, 134]",,,,0.0,,,,0.03,,,,0.01,,,,0.37,,,,0.08,,,,0.01,,,
0.42,,,,"[90, 228, 105, 131]",,,,0.0,,,,0.06,,,,0.02,,,,0.45,,,,0.04,,,,0.02,,,
0.43,,,,"[90, 228, 105, 131]",,,,0.0,,,,0.06,,,,0.02,,,,0.44,,,,0.04,,,,0.02,,,
0.48,,,,"[89, 227, 105, 135]",,,,0.0,,,,0.25,,,,0.01,,,,0.12,,,,0.05,,,,0.09,,,
0.51,,,,"[86, 226, 107, 135]",,,,0.0,,,,0.08,,,,0.01,,,,0.35,,,,0.03,,,,0.02,,,
0.58,,,,"[84, 225, 108, 134]",,,,0.0,,,,0.02,,,,0.0,,,,0.33,,,,0.05,,,,0.02,,,
0.48,,,,"[84, 224, 107, 135]",,,,0.0,,,,0.1,,,,0.01,,,,0.31,,,,0.05,,,,0.06,,,
0.53,,,,"[83, 224, 108, 137]",,,,0.0,,,,0.13,,,,0.02,,,,0.23,,,,0.06,,,,0.04,,,
